europe-france-basse-normandie	84411038
europe-france-bourgogne	126450030
europe-france-bretagne	184387315
europe-france-centre	145114134
europe-france-champagne-ardenne	65805336
europe-france-corse	21273839
europe-france-franche-comte	79251014
europe-france-guadeloupe	19718430
europe-france-guyane	9819732
europe-france-haute-normandie	65872383
europe-france-ile-de-france	181198239
europe-france-languedoc-roussillon	161162970
europe-france-limousin	59152714
europe-france-lorraine	106117115
europe-france-martinique	17491536
europe-france-mayotte	8052701
europe-france-midi-pyrenees	204519703
europe-france-nord-pas-de-calais	140406120
europe-france-pays-de-la-loire	215080627
europe-france-picardie	91093828
europe-france-poitou-charentes	129880227
europe-france-provence-alpes-cote-d-azur	204021734
europe-france-reunion	20345316
europe-france-rhone-alpes	291378707
europe-georgia	51204377
europe-germany-baden-wuerttemberg	380902610
europe-germany-bayern	481747696
europe-germany-berlin	45728002
europe-germany-brandenburg	163904983
europe-germany-bremen	12919162
europe-germany-hamburg	26528030
europe-germany-hessen	190397551
europe-germany-mecklenburg-vorpommern	78301797
europe-germany-niedersachsen	282585005
europe-germany-nordrhein-westfalen	557356505
europe-germany-rheinland-pfalz	147503400
europe-germany-saarland	34514073
europe-germany-sachsen	154748334
europe-germany-sachsen-anhalt	92660495
europe-germany-schleswig-holstein	94890880
europe-germany-thueringen	96318559
europe-great-britain-england	844368489
europe-great-britain-scotland	163954685
europe-great-britain-wales	76392648
europe-guernsey-jersey	3106532
europe-hungary	163767461
europe-iceland	46906965
europe-ireland-and-northern-ireland	211194740
europe-isle-of-man	3161137
europe-italy-centro	224214065
europe-italy-isole	131329209
europe-italy-nord-est	402821239
europe-italy-nord-ovest	353536531
europe-italy-sud	234977192
europe-kosovo	19186998
europe-latvia	69802051
europe-liechtenstein	2100298
europe-lithuania	146352972
europe-luxembourg	27886849
europe-macedonia	16421478
europe-malta	3517122
europe-moldova	52426594
europe-monaco	217516
europe-montenegro	20946147
europe-netherlands-drenthe	35325426
europe-netherlands-flevoland	19922604
europe-netherlands-friesland	51989961
europe-netherlands-gelderland	107890576
europe-netherlands-groningen	33176586
europe-netherlands-limburg	60103872
europe-netherlands-noord-brabant	123908949
europe-netherlands-noord-holland	108204621
europe-netherlands-overijssel	66375703
europe-netherlands-utrecht	55307394
europe-netherlands-zeeland	26514195
europe-netherlands-zuid-holland	123420535
europe-norway	1029657926
europe-poland-dolnoslaskie	98061827
europe-poland-kujawsko-pomorskie	65354162
europe-poland-lodzkie	81539206
europe-poland-lubelskie	89062475
europe-poland-lubuskie	39365594
europe-poland-malopolskie	114293095
europe-poland-mazowieckie	178490094
europe-poland-opolskie	32988067
europe-poland-podkarpackie	94078124
europe-poland-podlaskie	52618435
europe-poland-pomorskie	63933681
europe-poland-slaskie	113781981
europe-poland-swietokrzyskie	48991814
europe-poland-warminsko-mazurskie	50543360
europe-poland-wielkopolskie	105488375
europe-poland-zachodniopomorskie	59062410
europe-portugal	211526807
europe-romania	205139706
europe-serbia	102740607
europe-slovakia	179569217
europe-slovenia	246378373
europe-spain	848952896
europe-sweden	498529883
europe-switzerland	297452913
europe-turkey	365854122
europe-ukraine	593584273
north-america-canada-alberta	110978548
north-america-canada-british-columbia	351719200
north-america-canada-manitoba	112382070
north-america-canada-new-brunswick	46500982
north-america-canada-newfoundland-and-labrador	193152887
north-america-canada-northwest-territories	62167761
north-america-canada-nova-scotia	70725073
north-america-canada-nunavut	93014247
north-america-canada-ontario	569322923
north-america-canada-prince-edward-island	8561658
north-america-canada-quebec	376840814
north-america-canada-saskatchewan	70857415
north-america-canada-yukon	47284472
north-america-greenland	22224823
north-america-mexico	411180131
north-america-us-alabama	83126452
north-america-us-alaska	113454503
north-america-us-arizona	166463780
north-america-us-arkansas	45816370
north-america-us-california	667820185
north-america-us-colorado	176913063
north-america-us-connecticut	121609481
north-america-us-delaware	13432286
north-america-us-district-of-columbia	10441538
north-america-us-florida	338475632
north-america-us-georgia	210220280
north-america-us-hawaii	12823082
north-america-us-idaho	64868465
north-america-us-illinois	174812766
north-america-us-indiana	106447355
north-america-us-iowa	85590613
north-america-us-kansas	60099480
north-america-us-kentucky	96648356
north-america-us-louisiana	97821577
north-america-us-maine	59693616
north-america-us-maryland	132846599
north-america-us-massachusetts	204785606
north-america-us-michigan	176150577
north-america-us-minnesota	151833478
north-america-us-mississippi	52545161
north-america-us-missouri	107420430
north-america-us-montana	54969315
north-america-us-nebraska	49327634
north-america-us-nevada	56122336
north-america-us-new-hampshire	40078498
north-america-us-new-jersey	98506107
north-america-us-new-mexico	74307616
north-america-us-new-york	321378810
north-america-us-north-carolina	244415310
north-america-us-north-dakota	69460595
north-america-us-ohio	169040772
north-america-us-oklahoma	87783486
north-america-us-oregon	141026374
north-america-us-pennsylvania	174240986
north-america-us-puerto-rico	59990263
north-america-us-rhode-island	31712793
north-america-us-south-carolina	104131995
north-america-us-south-dakota	24203047
north-america-us-tennessee	102852100
north-america-us-texas	390839693
north-america-us-utah	77957814
north-america-us-vermont	21524052
north-america-us-virginia	270297361
north-america-us-washington	183406394
north-america-us-west-virginia	53527879
north-america-us-wisconsin	160203481
north-america-us-wyoming	44497214
